SPC,Common_Name,flen_min,flen_max,tlen_min,tlen_max,rwt_min,rwt_max,k_min_error,k_min_warn,k_max_warn,k_max_error,k_tl_mean,intercept_fltl,slope_fltl,int_fltl_old,slope_fltl_old
010,Lampreys,100,575,100,575,2,380,0.05,0.07,0.38,0.44,,0,1,0,1
011,American Brook Lamprey,100,230,100,230,2,24,0.05,0.07,0.38,0.44,,0,1,0,1
012,Northern Brook Lamprey,100,160,100,160,2,8,0.05,0.07,0.38,0.44,,0,1,0,1
013,Silver Lamprey,100,310,100,310,2,60,0.05,0.07,0.38,0.44,0.2,0,1,0,1
014,Sea Lamprey,100,575,100,575,2,380,0.05,0.07,0.38,0.44,,0,1,0,1
015,Ichthyomyzon sp.,100,310,100,310,2,60,0.05,0.07,0.38,0.44,,0,1,0,1
016,Chestnut Lamprey,100,230,100,230,2,24,0.05,0.07,0.38,0.44,,0,1,0,1
020,Paddlefishes ,1,2,1,2,1,2,0.01,0.02,0.1,0.2,,,,,
021,Paddlefish,1,2,1,2,1,2,0.01,0.02,0.1,0.2,,,,,
030,Sturgeons,83,1725,124,1925,7,45810,0.2,0.29,1.08,1.19,,35.04782,1.05102,37.03345,1.05662
031,Lake Sturgeon,83,1725,124,1925,7,45810,0.2,0.29,1.08,1.19,0.58,35.04782,1.05102,37.03345,1.05662
040,Gars,50,1360,50,1360,1,7463,0.1,0.14,0.36,0.4,,0,1,0,1
041,Longnose Gar,50,1360,50,1360,1,7463,0.1,0.14,0.36,0.4,0.24,0,1,0,1
042,Spotted Gar,50,805,50,805,1,1252,0.1,0.14,0.36,0.4,,0,1,0,1
043,Lepisosteus sp.,50,1360,50,1360,1,7463,0.1,0.14,0.36,0.4,,0,1,0,1
044,Florida Gar,50,1360,50,1360,1,7463,0.1,0.14,0.36,0.4,,0,1,0,1
050,Bowfins,65,885,65,885,2,7001,0.5,0.63,1.39,1.52,,0,1,0,1
051,Bowfin,65,885,65,885,2,7001,0.5,0.63,1.39,1.52,1.01,0,1,0,1
060,Herrings,23,552,26,580,0.1,2325,0.22,0.37,2.33,2.55,,0.1665,1.14279,0.65452,1.14018
061,Alewife,23,260,26,300,0.1,299,0.22,0.37,1.67,1.87,0.82,-2.35598,1.16126,0.65452,1.14018
062,American Shad,26,552,30,580,0.9,2325,0.52,0.66,2.33,2.55,,1.15856,1.13632,,
063,Gizzard Shad,26,552,30,580,0.9,2325,0.52,0.66,2.33,2.55,1.11,1.15856,1.13632,20.83161,1.08276
064,Alosa sp.,23,552,23,580,0.1,2325,0.22,0.37,2.33,2.55,,0.1665,1.14279,,
